document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
2022-01-27T08:56:43-03:00,fs,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,flowerShape controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:flowerShape,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,fs001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,dish,fs,dish,Dish- to bowl-shaped flowers,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fs002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,bell-funnel,fs,bellFunnel,Convex contour (bell) or straight or concave (funnel) shaped flowers,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fs003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,brush,fs,brush,Perianth is reduced or split into filiform segments interspersed between sexual organs,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fs004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,flag,fs,flag,"The flag type shows the same division of the pollination unit into an upper and lower part, but in this case the sexual organs are found in the lower part, and the insects carry the pollen on their abdominal side (sternotribic)",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fs005,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,gullet,fs,gullet,"Flower shape where sexual orgargs are restricted to the functionally upper side of the pollination unit, and pollen is deposited on the back (upper side of the head) of the pollinator (nototribic)",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fs007,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,tube,fs,tube,"Tubes may be central, as a corolla tube, subcentric, as a spur, or excentric. The sub- and excentric types may be convergent with or divergent from the main axis of the blossom. Tubes and spurs are usually single or double, and has multiple, subcentric convergent spurs. Many composite heads are also multitubula.",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fo,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,flowerOrientation controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:flowerOrientation,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,fo001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,vertical,fo,vertical,Flower facing upwards,,Flower vertically towards the sky,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fo002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,horizontal,fo,horizontal,Flower roughly parallel to the ground,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fo003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,pendant,fo,pendant,Flower facing downwards,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,adt,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,antherDehiscenceType controlled vocabulary,,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,adt001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,longitudinal,adt,longitudinal,Dehiscing along long axis of theca,,See http://www.ibiblio.org/botnet/glossary/,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,adt002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,poricidal,adt,poricidal,Dehiscing through a pore at apex of theca,,See http://www.ibiblio.org/botnet/glossary/,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,adt003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,transverse,adt,transverse,Dehiscing at rightangles to long axis of theca,,See http://www.ibiblio.org/botnet/glossary/,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,adt004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,valvular,adt,valvular,Dehiscing through a pore covered by a flap of tissue,,See http://www.ibiblio.org/botnet/glossary/,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,aeo,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,apomiticSystemEmbryoOrigin controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:apomiticSystemEmbryoOrigin,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,aeo001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,gametophytic,aeo,gametophytic,"In this kind of apomixis, the embryo develops through parthenogenesis from the egg cell of an unreduced embryo sac",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,aeo002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,sporophytic,aeo,sporophytic,"In sporophytic apomixis (adventitious embryony), the embryo originates from somatic cells of the ovule, usually from the nucellus or integument, and it commonly develops in parallel with the sexual embryo",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,asf,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,apomiticSystemFertilization controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:apomiticSystemFertilization,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,asf001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,autonomous,asf,autonomous,Autonomous apomixis occurs when embryo and the endosperm can develop independently of fertilization,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,asd002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,pseudogamy,asf,pseudogamy,pseudogamous ones depend on the fertilization of the polar nucleus or nuclei by a male gamete to endosperm development,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,asr,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,apomiticSystemReproduction controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:apomiticSystemReproduction,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,asr001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,facultative,asr,facultative,This type is recognized when the apomixis occurs in parallel with sexual reproduction,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,asr002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,obligate,asr,obligate,It is characterized by reproduction exclusively via apomixis,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ms,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,matingSystem controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:matingSystem,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,ms001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,autogamy,ms,autogamy,"Autogamy consists in the fertilization of male and female gametes from the same flower after self-pollination, which may happen only in bisexual flowers",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ms002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,geitonogamy,ms,geitonogamy,Consists in the fertilization between gametes from different flowers of the same individual after geitonogamous pollination,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ms003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,xenogamy,ms,xenogamy,Xenogamy is the fertilization of gametes from flowers of different individuals after cross-pollination,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,sexualSystem controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:sexualSystem,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,ss001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,cosexuality,ss,cosexuality,"Sexual system in which individuals of a population present only bisexual flowers (androgynous, cosexual, hermaphrodite, monoclinous or perfect flowers), with functional stamens and pistils in the same flower",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,monoecy,ss,monoecy,Sexual system in which a population present only unisexual (diclinous) flowers and both staminate and pistillate flowers occur in the same individual,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,andromonoecy,ss,andromonoecy,"Sexual system in which individuals of a population present bisexual and staminate flowers (Fig. 3), which may have a reduced, non-functional or even absent gynoecium ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,gynomonoecy,ss,gynomonoecy,"Sexual system in which individuals of a population present both bisexual and pistillate flowers, with pollen sterility and a reduced or absent androecium",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss005,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,trimonoecy,ss,trimonoecy,"Trimonoecy is characterized by the presence of three floral types within the same individual in a population: bisexual, staminate and pistillate flowers ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss006,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,dioecy,ss,dioecy,"In this sexual system, entire individuals are unisexual, which means staminate and pistillate flowers are arranged in different plants of a population ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss007,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,androdioecy,ss,androdioecy,"Androdioecy is the presence of individuals with bisexual flowers coexisting along with others that present only staminate flowers (Fig. 4), and it is related to mutations that cause female sterility",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,ss008,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,gynodioecy,ss,gynodioecy,Gynodioecy refers to the presence of individuals with bisexual flowers coexisting along with others with only pistillate flowers ,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fa,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,floralAttractants controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:floralAttractants,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,fa001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,visual,fa,visual,Visual stimuli,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fa002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,chemical,fa,chemical,Chemical stimuli,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fa003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,tactile,fa,tactile,Tactile stimuli,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fa004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,sonorous,fa,sonorous,Sonorous stimuli,,,,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,floralSystem controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:floralSystem,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,fsy001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,herkogamy,fsy,herkogamy,"Herkogamy is the spatial separation anther-stigma along the vertical or horizontal plane within the same flower, functioning as a physical barrier that prevents both interference between sexual functions and self-pollination",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,heterostyly,fsy,heterostyly,"Heterostyly occurs when populations present individuals with two (distyly) or three (tristyly) floral morphs, which reciprocally differ in the heights of anthers and stigmas within flowers ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,stylar dimorphism,fsy,stylarDimorphism,Characterized by the presence of two morphs in the population differing only in style heights,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,heteranthery,fsy,heteranthery,"Heteranthery is characterized by the morphological, spatial and/or color differentiation among the stamens of the same flower",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy005,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,enantiostyly,fsy,enantiostyly,This floral system is characterized by the lateral deflection of style (to the right or left) in relation to the central axis of the flower leading to horizontal herkogamy,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy006,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,cleistogamy,fsy,cleistogamy,"Refers to the presence of flowers that do not open, and which set fruits and seeds only via self-pollination ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy007,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,resupinate dimorphy,fsy,resupinateDimorphy," In this floral system, approximately half the population have exclusively resupinate flowers (upside down) while the other individuals have normal, non-resupinate ones",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy008,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,dichogamy,fsy,dichogamy,"Dichogamy consists in temporal separation of sexual functions, either at different times of anthesis of staminate and pistillate flowers, or by the sequential ripening of the androecium or gynoecium within the same flower or inflorescence",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy009,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,heterodichogamy,fsy,heterodichogamy,"Dichogamy may be non-synchronized in flowers of the same individual, but also occur in a synchronized manner, generating functional dioecy in the population",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy010,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,flexistyly,fsy,flexistyly,"This is a complex floral system which combines both reciprocal herkogamy and heterodichogamy. In flexistyly, populations have protandrous and protogynous individuals (type II heterodichogamy; see above), which occur generally in the same frequencies",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,fsy011,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,movements of floral whorls,fsy,movementsOfFloralWhorls,"Floral movements have been appointed as mechanisms to avoid self-pollination, and new evidence indicates that they reduce intrafloral male-female interference as well",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,si,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,selfIncompatibilityType controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:selfIncompatibilityType,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2022-01-27T08:56:43-03:00,si001,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,gametophytic,si,gametophytic,Gametophytic self-incompatibility occurs in flower homomorphic plants and is controlled by a single locus S containing several alleles with absence of dominance,,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,si002,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,sporophytic homomorphic,si,sporophyticHomomorphic,"This system also occurs in plant populations with only one floral type and is also genetically controlled by a single S locus, which contains multiple alleles within the same population",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,si003,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,sporophytic heteromorphic,si,sporophyticHeteromorphic,"This system shares functional characteristics with SSI, but involves flowers with different structures (e.g. pistil and/or stamen lengths) within the same population ",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
2022-01-27T08:56:43-03:00,si004,http://rs.rebipp.org.br/ppicv/values/,2021-12-03,2021-12-03,,,,,late-acting,si,lateActing,"This is a homomorphic incompatibility system in which pollen tubes from self-pollination are not inhibited before reaching the ovary, and may even penetrate the ovules",,"See Cardoso et al, 2018",,http://www.w3.org/2004/02/skos/core#Concept
