term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_usageScope
Animal,Animal,Any attribute of a particular animal or a definied group of animals individuals,,,The caste of a bee,http://www.w3.org/2000/01/rdf-schema#Class,,simple
caste,Caste,The society division that is specialized in the function it performs and is distinguished by anatomical or morphological features from other individuals of in the society,,Recommended best pratices is to use a controlled vocabulary,"`soldier`, `queen `, `worker `",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Animal,simple
Plant,Plant,Any attribute of a particular plant or a defined group of plants inviduals,,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Plant,simple
antherDehiscenceType,Anther Dehiscence Type,The physical mechanism of anther dehiscence (release of the pollen grains),"`poricidal`, `longitudinal`",Recommended best practice is to use a controlled vocabulary,"`poricidal`, `longitudinal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
flowerAbundance,Flower Abundance,The number of open flowers or inflorescences on the plant,"`0`, `30`, `40`",If it is an estimate then you should describe the accuracy of the measurement using http://rs.tdwg.org/dwc/terms/measurementAccuracy,"`0`, `30`, `40`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
floralSymmetry,Floral Symmetry,"The symmetry describing whether, and how, a flower, in particular its perianth, can be divided into two or more identical or mirror-image parts.","`zygomorphic`, `bilateral`",Recommended best practice is to use a controlled vocabulary such as the Phenotype and Trait Ontology,"`zygomorphic`, `bilateral`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
floralSystem,Floral System,"The system by which bisexual flowers optimize their reproductive success, through mechanisms that promote self- or cross-pollination","`herkogamy`, `heterostyly`, `stylar dimorphism`","It can be a morphological, temporal or movement-based mechanism.
Recommended best practice is to use a controlled vocabulary.","`herkogamy`, `heterostyly`, `stylar dimorphism`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
plantHabit,Plant Habit,"The general appearance, characteristic form, or mode of growth of the plant","`tree`, `bush`, `herb`",,"`tree`, `bush`, `herb`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
humanUse,Human Use,"Ways in which species are utilized by people, including cultural use","`human food `, `animal food`, `medicine`, `ritual`","Recommended best practice is to use a controlled vocabulary.
","`human food `, `animal food`, `medicine`, `ritual`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
matingSystem,Mating System,A list (concatenated and separated) of the modes of gene transfer from one generation to the next through sexual reproduction,"`autogamous`, `xenogamous`",Recommended best practice is to separate the values in a list with space vertical bar space ( | ) and to use a controlled vocabulary.,"`autogamous`, `xenogamous`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
selfIncompatibilityType,Self Incompatibility Type,The type or class of self-incompatibility system of the plant species,"`gametophytic`, `sporophytic`, `absent`, `homomorphic sporophytic`",Recommended best practice is to use a controlled vocabulary. If the plant has no self-incompatibility system use the value `absent`.,"`gametophytic`, `sporophytic`, `absent`, `homomorphic sporophytic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
apomiticSystemEmbryoOrigin,Apomitic System Embryo Origin,The general mode of apomixis embryo origin of a plant,"gametophytic,sporpophytic
","Recommended best practice is to use a controlled vocabulary.
","gametophytic,sporpophytic
",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
apomiticSystemFertilization,Apomitic System Fertilization,The general mode of apomixis endosperm development of a plant,"autonomous,pseudogamy","Recommended best practice is to use a controlled vocabulary.
","autonomous,pseudogamy",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
apomiticSystemReproduction,Apomitic System Reproduction,The general mode of apomixis reproduction of a plant,"facultative, obligate","Recommended best practice is to use a controlled vocabulary.
","facultative, obligate",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
sexualSystem,Sexual System,The distribution of floral types within and among the individuals of the same population,"`monoceius`, `dioceius`",The gender expression is based in the presence and distribution of fertile whorls within the flower. Recommended best practice is to use a controlled vocabulary,"`monoceius`, `dioceius`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple
Flower,Flower,Any attribute of a particular flower or a definied group of flowers ,,,The shape and the number of anther of a flower,http://www.w3.org/2000/01/rdf-schema#Class,,simple
antherPollenGrainsQuantity,Anther Pollen Grains Quantity,The total number of pollen grains in the anther(s) of a flower,,For flowers with multiple anthers the number provided should be the sum of pollen grains in all anthers,"`1523`,`2641`, `1146`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
stigmaticAreaInSquareMilimiters,Stigmatic Area In Square Milimiters,The total surface area in square millimeters of the stigma of a flower,,,"`10`, `25`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
styleLengthInMilimiters,Style Length In Milimiters,The length in milimiters from the base to the tip of the style of a flower,,,"`12.5`, `6.5`, `20.0`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
coloredFlowerStructure,Colored Flower Structure,The predominant colored structure(s) of the flower(s),,"Recommended best practice is to separate the values in a list with space vertical bar space ( | ).

Recommended best practice is to use a controlled vocabulary.
","`bract`, `bract | petal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerColor,Flower Color,The predominant color(s) of the flower(s),,"Recommended best practice is to separate the values with space vertical bar space ( | ).

Recommended best practice is to use a controlled vocabulary.","`blue`, `red | yellow`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerShape,Flower Shape,The overall shape of the flowers,,Recommended best practice is to use a controlled vocabulary.,"`bush`, `campanulate`, `tube`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerOrientation,Flower Orientation,The orientation (presentation) of the flower with respect to the flower or inflorescence main axis,,Recommended best practice is to use a controlled vocabulary.,"`vertical`,`horizontal`, `pendant`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerOpeningType,Flower Opening Type,"The type of flower describing whether the flower's corolla opens or not, exposing its reproductive parts",,Recommended best practice is to use a controlled vocabulary.,"`cleistogamous`, `chasmogamous`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
floralAttractants,Floral Attractants,"Types of attractants (visual, chemical or tactile) present in the flowers that floral visitors may use to locate them and their resources",,Recommended best practice is to separate the values in a list with space vertical bar space ( | ) and to use a controlled vocabulary,"`visual`, `chemical`, `visual | tactile`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
ovuleQuantity,Ovule Quantity,The total amount of ovules in a flower,,,"`3`, `4`, `10`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerLongevity,Flower Longevity,The total amount of hours comprising the time between flower opening and flower senescence,,"A flower is considered opened when its petals are fully open regardless of anther maturation and stigma receptivity, and flower senescence is when floral parts begin to wilt and fall off or the ovary starts to develop into fruit","`1`, `8`, `72`, `120`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
flowerOpeningPeriod,Flower Opening Period,The time or interval during which a chasmogamous flower opens exposing its reproductive parts,,Recommended best practice is to use a time interval that conforms to ISO  8601-1:2019.,`06:00:00Z/12:30:00Z` (the interval between 6am UTC and 12:30pm UTC),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
functionalFlowerLifespanInHours,Functional Flower Lifespan In Hours,The total amount of hours during which a flower is sexually functional,,"The period of time when stigma is receptive to the germination of pollen grains, ovules are receptive to the pollen tubes or anthers present viable pollen grains","`1`, `8`, `72`, `120`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple
Interaction,Interaction,An interaction event that occurs at some location during some time.,,,A bee visits a flower of a plant,http://www.w3.org/2000/01/rdf-schema#Class,,simple
visitedFlowerSex,Visited Flower Sex,The sex of the visited flower,,Recommended best practice is to use a controlled vocabulary,"`bisexual`, `male`, `female`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
animalPlaceOfContact,Animal Place Of Contact,A list (concatenated and separated) of the animal body parts that contact the plant during the interaction,,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`leg`, `beak', `abdomen`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
nectarCollectingBodyPart,Nectar Collecting Body Part,The animal body part used to collect nectar from the plant nectaries,,The plant nectaries can be floral or extrafloral nectaries. Recommended best practice is to use a controlled vocabulary such as Uberon or the Hymenoptera Anatomy Ontology,"`glossa`, `bill`, `tongue`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
nectarCollectingBodyPartLengthInMilimiters,Nectar Collecting Body Part Length In Milimiters,The length in millimeters of the body part used to collect nectar from the plant nectaries,,"If reporting this value, the `nectarCollectingBodyPart` should also be provided.","`12`,  `100`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
flowerPlaceOfContact,Flower Place Of Contact,A list (concatenated and separated) of flower parts touched by the animal during the interaction,,"Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary
","`anther`, `stigma`, `pistil`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
resourceCollected,Resource Collected,A list (concatenated and separated) of floral resources used or removed from the visited flower(s) during the interaction,,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`pollen`, `pollen | nectar | oil`, `ovules`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
visitedFlowersQuantity,Visited Flowers Quantity,The total number of flowers visited during the interaction,,,"`12`, `20`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
ReproductiveSuccess,Reproductive Success,A reproductive success measurement as a result or a effect of the interaction(s) on the subject or object of the interaction,The mass of a fruit exposed to multiple visitors was 100 grams,"An outcome is related to one or more interactions, but limited to the same subject or object of the related interactions (e.g. a dwc:Occurrence or a dwc:Taxon)",The mass of a fruit exposed to multiple visitors was 100 grams,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfRemovedPollenGrains,Number Of Removed Pollen Grains,The total number of pollen grains removed from the anther(s) of the visited flower(s),"`156`, `350`",The pollen grains may have been removed by multiple floral visitors. The number should include pollen grains from all anthers of the flower(s),"`156`, `350`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfConspecificPollenGrains,Number Of Conspecific Pollen Grains,The total number of conspecific pollen grains deposited on the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfHeterospecificPollenGrains,Number Of Heterospecific Pollen Grains,The total number of heterospecific pollen grains deposited on a the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfFertilizedOvules,Number Of Fertilized Ovules,The total number of fertilized ovules in the visited flower(s),"`3`, `5`",The ovules may have been fertilized as a result of multiple floral visits,"`3`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfPollenTubes,Number Of Pollen Tubes,The total number of pollen tubes growing in the style(s) of the visited flower(s),"`1`, `5`",The flower(s) may have been exposed by multiple floral visitors. The number should include pollen tubes growing from all styles of the flower(s),"`1`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
seedMassInMiligrams,Seed Mass In Miligrams,The total mass in miligrams of the seeds of mature fruit(s),"`50`, `231.6`","If reporting this value, the `seedSet` should also be provided.","`50`, `231.6`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
seedSet,Seed Set,The total number of seeds of mature fruit(s),"`20`, `55`","If reporting this value, the `fruitSet` should also be provided.","`20`, `55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
fruitMassInGrams,Fruit Mass In Grams,The total mass in grams of the fruit(s),"`500`, `1256.55`","If reporting this value, the `fruitSet` should also be provided.","`500`, `1256.55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
fruitSet,Fruit Set,The total number of mature fruits of the exposed flower(s),"`5`, `12`","If reporting this value, the `numberOfExposedFlowers` should also be provided","`5`, `12`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfExposedFlowers,Number Of Exposed Flowers,The total number of flowers exposed to floral visitors,"`4`, `11`",The exposed flowers are the flowers monitored to measure the reproductive success of the plant(s). For the total number of flowers available to floral visitors (including flowers unmonitored) use `flowerAbundance`.,"`4`, `11`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
NectarDynamics,Nectar Dynamics,The measurements of nectar dynamics,The accumulated nectar in the monitored flowers,A nectar dynamics measurement is related to the plant occurrence(s) ,The accumulated nectar in the monitored flowers,http://www.w3.org/2000/01/rdf-schema#Class,,simple
accumlatedNectarVolumeInMicroliters,Accumlated Nectar Volume In Microliters,The total volume in microliters of nectar accumulated by the flower(s),"`5`, `10`, `5.5`","The total volume of nectar should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided.","`5`, `10`, `5.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarConcentration,Accumulated Nectar Concentration,"The concentration of the nectar, in percentage of sugar, accumulated by the flower(s)","`10.2`, `25`","The accumulated nectar concentration should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided","`10.2`, `25`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarHours,Accumulated Nectar Hours,The time in hours in which the nectar was let to accumulated in the flower(s),"`0.5`, `2`, `48`",,"`0.5`, `2`, `48`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarFlowers,Accumulated Nectar Flowers,The total number of flowers which the accumulated nectar measurements were made,"`4`, `23`",The flowers should be prevented from visitation (not exposed to floral visitors) during all their logenvity,"`4`, `23`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple