header,predicate,type,value,attribute,subject_id
version_modified,dcterms:issued,datatype,,xsd:date,$root
label,rdfs:label,language,,en,$root
label,dcterms:title,language,,en,$root
description,rdfs:comment,language,,en,$root
description,dcterms:description,language,,en,$root
$constant,dc:publisher,language,Brazilian Network on Plant-Pollinator Interactions (REBIPP),en,$root
$constant,dcterms:publisher,iri,https://www.wikidata.org/entity/Q109970557,,$root
version_modified,owl:versionInfo,plain,,,$root
list,dcterms:isVersionOf,iri,,,$root
vann_preferredNamespacePrefix,vann:preferredNamespacePrefix,plain,,,$root
vann_preferredNamespaceUri,vann:preferredNamespaceUri,plain,,,$root
status,tdwgutility:status,datatype,,xsd:string,$root