document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,tdwgutility_usageScope,term_localName
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningPeriod-2021-12-03,flowerOpeningPeriod-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Flower Opening Period,The time or interval during which a chasmogamous flower opens exposing its reproductive parts,,Recommended best practice is to use a time interval that conforms to ISO  8601-1:2019.,`06:00:00Z/12:30:00Z` (the interval between 6am UTC and 12:30pm UTC),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple,flowerOpeningPeriod
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/functionalFlowerLifespanInHours-2021-12-03,functionalFlowerLifespanInHours-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Functional Flower Lifespan In Hours,The total amount of hours during which a flower is sexually functional,,"The period of time when stigma is receptive to the germination of pollen grains, ovules are receptive to the pollen tubes or anthers present viable pollen grains","`1`, `8`, `72`, `120`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Flower,simple,functionalFlowerLifespanInHours
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/Interaction-2021-12-03,Interaction-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Interaction,An interaction event that occurs at some location during some time.,,,A bee visits a flower of a plant,http://www.w3.org/2000/01/rdf-schema#Class,,simple,Interaction
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/visitedFlowerSex-2021-12-03,visitedFlowerSex-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Visited Flower Sex,The sex of the visited flower,,Recommended best practice is to use a controlled vocabulary,"`bisexual`, `male`, `female`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,visitedFlowerSex
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/animalPlaceOfContact-2021-12-03,animalPlaceOfContact-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Animal Place Of Contact,A list (concatenated and separated) of the animal body parts that contact the plant during the interaction,,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`leg`, `beak', `abdomen`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,animalPlaceOfContact
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPart-2021-12-03,nectarCollectingBodyPart-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Nectar Collecting Body Part,The animal body part used to collect nectar from the plant nectaries,,The plant nectaries can be floral or extrafloral nectaries. Recommended best practice is to use a controlled vocabulary such as Uberon or the Hymenoptera Anatomy Ontology,"`glossa`, `bill`, `tongue`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,nectarCollectingBodyPart
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPartLengthInMilimiters-2021-12-03,nectarCollectingBodyPartLengthInMilimiters-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Nectar Collecting Body Part Length In Milimiters,The length in millimeters of the body part used to collect nectar from the plant nectaries,,"If reporting this value, the `nectarCollectingBodyPart` should also be provided.","`12`,  `100`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,nectarCollectingBodyPartLengthInMilimiters
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/flowerPlaceOfContact-2021-12-03,flowerPlaceOfContact-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Flower Place Of Contact,A list (concatenated and separated) of flower parts touched by the animal during the interaction,,"Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary
","`anther`, `stigma`, `pistil`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,flowerPlaceOfContact
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/resourceCollected-2021-12-03,resourceCollected-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Resource Collected,A list (concatenated and separated) of floral resources used or removed from the visited flower(s) during the interaction,,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`pollen`, `pollen | nectar | oil`, `ovules`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,resourceCollected
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/visitedFlowersQuantity-2021-12-03,visitedFlowersQuantity-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Visited Flowers Quantity,The total number of flowers visited during the interaction,,,"`12`, `20`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple,visitedFlowersQuantity
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/ReproductiveSuccess-2021-12-03,ReproductiveSuccess-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Reproductive Success,A reproductive success measurement as a result or a effect of the interaction(s) on the subject or object of the interaction,The mass of a fruit exposed to multiple visitors was 100 grams,"An outcome is related to one or more interactions, but limited to the same subject or object of the related interactions (e.g. a dwc:Occurrence or a dwc:Taxon)",The mass of a fruit exposed to multiple visitors was 100 grams,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,ReproductiveSuccess
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfRemovedPollenGrains-2021-12-03,numberOfRemovedPollenGrains-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Removed Pollen Grains,The total number of pollen grains removed from the anther(s) of the visited flower(s),"`156`, `350`",The pollen grains may have been removed by multiple floral visitors. The number should include pollen grains from all anthers of the flower(s),"`156`, `350`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfRemovedPollenGrains
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfConspecificPollenGrains-2021-12-03,numberOfConspecificPollenGrains-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Conspecific Pollen Grains,The total number of conspecific pollen grains deposited on the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfConspecificPollenGrains
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfHeterospecificPollenGrains-2021-12-03,numberOfHeterospecificPollenGrains-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Heterospecific Pollen Grains,The total number of heterospecific pollen grains deposited on a the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfHeterospecificPollenGrains
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfFertilizedOvules-2021-12-03,numberOfFertilizedOvules-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Fertilized Ovules,The total number of fertilized ovules in the visited flower(s),"`3`, `5`",The ovules may have been fertilized as a result of multiple floral visits,"`3`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfFertilizedOvules
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfPollenTubes-2021-12-03,numberOfPollenTubes-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Pollen Tubes,The total number of pollen tubes growing in the style(s) of the visited flower(s),"`1`, `5`",The flower(s) may have been exposed by multiple floral visitors. The number should include pollen tubes growing from all styles of the flower(s),"`1`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfPollenTubes
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/seedMassInMiligrams-2021-12-03,seedMassInMiligrams-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Seed Mass In Miligrams,The total mass in miligrams of the seeds of mature fruit(s),"`50`, `231.6`","If reporting this value, the `seedSet` should also be provided.","`50`, `231.6`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,seedMassInMiligrams
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/seedSet-2021-12-03,seedSet-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Seed Set,The total number of seeds of mature fruit(s),"`20`, `55`","If reporting this value, the `fruitSet` should also be provided.","`20`, `55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,seedSet
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/fruitMassInGrams-2021-12-03,fruitMassInGrams-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Fruit Mass In Grams,The total mass in grams of the fruit(s),"`500`, `1256.55`","If reporting this value, the `fruitSet` should also be provided.","`500`, `1256.55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,fruitMassInGrams
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/fruitSet-2021-12-03,fruitSet-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Fruit Set,The total number of mature fruits of the exposed flower(s),"`5`, `12`","If reporting this value, the `numberOfExposedFlowers` should also be provided","`5`, `12`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,fruitSet
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/numberOfExposedFlowers-2021-12-03,numberOfExposedFlowers-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Number Of Exposed Flowers,The total number of flowers exposed to floral visitors,"`4`, `11`",The exposed flowers are the flowers monitored to measure the reproductive success of the plant(s). For the total number of flowers available to floral visitors (including flowers unmonitored) use `flowerAbundance`.,"`4`, `11`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple,numberOfExposedFlowers
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/NectarDynamics-2021-12-03,NectarDynamics-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Nectar Dynamics,The measurements of nectar dynamics,The accumulated nectar in the monitored flowers,A nectar dynamics measurement is related to the plant occurrence(s) ,The accumulated nectar in the monitored flowers,http://www.w3.org/2000/01/rdf-schema#Class,,simple,NectarDynamics
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/accumlatedNectarVolumeInMicroliters-2021-12-03,accumlatedNectarVolumeInMicroliters-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Accumlated Nectar Volume In Microliters,The total volume in microliters of nectar accumulated by the flower(s),"`5`, `10`, `5.5`","The total volume of nectar should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided.","`5`, `10`, `5.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple,accumlatedNectarVolumeInMicroliters
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarConcentration-2021-12-03,accumulatedNectarConcentration-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Accumulated Nectar Concentration,"The concentration of the nectar, in percentage of sugar, accumulated by the flower(s)","`10.2`, `25`","The accumulated nectar concentration should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided","`10.2`, `25`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple,accumulatedNectarConcentration
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarHours-2021-12-03,accumulatedNectarHours-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Accumulated Nectar Hours,The time in hours in which the nectar was let to accumulated in the flower(s),"`0.5`, `2`, `48`",,"`0.5`, `2`, `48`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple,accumulatedNectarHours
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarFlowers-2021-12-03,accumulatedNectarFlowers-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Accumulated Nectar Flowers,The total number of flowers which the accumulated nectar measurements were made,"`4`, `23`",The flowers should be prevented from visitation (not exposed to floral visitors) during all their logenvity,"`4`, `23`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple,accumulatedNectarFlowers
